processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"semuanya bagus sesuai profile,dan harga promo untuk suite nya jg sangat murah..komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Tempat tidur sangat keras, bantal besar dan keras, air panas tidak berfungsi, AC kurang dingin biasanya setiap saya menginap di hotel/kost/penginapan yang bekerja sama dgn Airy Room selalu dapat snack & peralatan mandi, tapi kali ini tidak 1 pun yang saya dapatkan ",neg,neg,neut,neut,neut,neg,neut,neut,neut,neut
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
"ruangan kurang bersih, ada puntung rokok di dalam kamar, plastik shower di ksmar mandi mulai menghitam, conplimentary item expired ",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanan kurang ramah,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
tv nya bermasalah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Jangan menginap disini deh.. Mending cari hotel lain.. Kelas deluxe tapi kayak ekonomi SEMPIT SEKALI, WC BAU, COLOKKAN LISTRIK TIDAK ADA. MAU CHARGER HP GAK BISA. NGHABISKAN DUIT AJA...SANGAT KECEWA",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
AC nya Panas gak berfungsi. Offer all sih ya oke lah.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
tvnya mati2,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
Untuk nginap yg kemaren tempat tidur kurang bersih.. ðð»,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kamar mandi kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
wifi tidak sampai kamar,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
AC kurang dingin ,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Tidak ada sabun maupun snack dari airy room,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"cukup baik. kekurangan tamu tidak di antar ke kamar. satpam sangat ramah, saluran tv jernih, sarapan pagi enak, selimut tebel. pokoknya rekomen bgt lah",neut,neut,neut,neut,neut,neg,neut,pos,pos,neut
