processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
kebersihan kurang...,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat ,neut,neut,neut,neut,pos,neut,neut,neut,neg,neut
"semuanya bagus sesuai profile,dan harga promo untuk suite nya jg sangat murah..komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
selimut dan handuk ada kerak kotor.,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"AC tidak dingin, kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas, kamar byk ngengat kecil yg bikin gatal.",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
tv nya bermasalah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
AC nya Panas gak berfungsi. Offer all sih ya oke lah.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
tvnya mati2,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
kamar kotor... tidak ada perlengkapan snack dan mandi dari airy,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
wifi tidak sampai kamar,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Pelayanan ramah, namun air panas shower perlu diperbaiki",neut,neg,neut,neut,neut,neut,pos,neut,neut,neut
Tidak ada sabun maupun snack dari airy room,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"cukup baik. kekurangan tamu tidak di antar ke kamar. satpam sangat ramah, saluran tv jernih, sarapan pagi enak, selimut tebel. pokoknya rekomen bgt lah",neut,neut,neut,neut,neut,neg,neut,pos,pos,neut
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Tidak diberikan snack & perlengkapan di kamar mandi.,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
kamar sesuai foto..bagus nyaman tapi sayang shower mandi nya ga bisa pake air dingin terlalu panas mungkin rusak selebih nya sangat bagus sip deh,neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
air panas susah... sedikit banget .. cuman 5 menit abis langsung.. room ok sih,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"bedsheet kotor penuh noda, tampak seperti tidak pernah dicuci. handuk putih sudah menguning. bantal (selain biru kotak merk airy) tidak disarung. kesan: kotor!",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanannya baik...tapi snack nya koq ngga ada lagi ya...kemudian bantalnya bau apek..itu aja masukannya ðð,neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
"Makanan , bisa di variasikan lagi saja masakannya. Karena terlalu sederhana, dan tidak sesuai dengan harga yang saya bayarkan untuk menginap disana. Terima kasih.",neut,neut,neut,neut,neut,neut,neut,neg,neut,neut
"Kecewa sama pelayanannya, di aplikasi jam chek in jam 2 tpi pas sampe sana jam 2 blm bisa chek in dengan alasan tertentu Masih ada lagi kamarnya yg kotor sprei yg sperti blm dicuci, lantai kamar yg ada ceceran air pas pertama kali masuk trs yg parahnya sama sekali gak ada peralatan mandi sama sekali seperti handuk pasta gigi sabun dll  Harga murah tp mengecewakan",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
Pertama datang saya dikasih kamar yg buat berdua padahal saya memesan kamar yg untuk berempat dan tdk ada desain nya airyroom di kamar dan tdk dapat snack kalo tidak di komplain pokok nya kecewa menginap disini,neut,neut,neut,neg,neut,neg,neg,neut,neut,neut
wifi suka error,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
air panas kurang berfungsi & handuk lembab.,neut,neg,neut,neut,neut,neg,neut,neut,neut,neut
"Kurang nyaman karena shower untuk closet duduk tidak ada , kurang bersih kesannya!",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",neut,neut,neut,neut,neg_pos,pos,pos,neut,neut,neut
tempatnya strategis.  deket ke mana2.  luas tapi agak jorok,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kmr sie OK.., tp g ad air panas, toilet ny g ad tutup ny",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
Kebersihan kamar diperhatikan,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"staff semua ramah dan baik.  namun lokasi sangat jauh harga terlalu mahal untuk fasilitas yg minim no wifi di kamar,  sarapan hanya nasi goreng, banyak nyamuk",neut,neut,neut,neut,neut,neut,pos,neg,neut,neg
"Murat, lumayan laah tapi banyak kecoa kecil kamarnya, dan selimutnya kurang bersih banyak bercaknya",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"cukup baik, pelayanan ramah, cuman sprei agak kotor dan lantai nya sedikit lengket...",neut,neut,neut,neut,neg,neg,pos,neut,neut,neut
nggak ada air panasnya,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"hotelnya bersih...... pelayanan nya baik, staffnya ramah.  tapi air panasnya tdk berfungsi.",neut,neg,neut,neut,pos,neut,pos,neut,neut,neut
Oke. Sayang sinyal wifi di kamar atas jelek,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
Lokasi dari jalan kramat 5 masih masuk gang kecil jadi sulit ditemukan..plang nama airy harusnya dipasang di tepi jalan kramat 5 agar mudah ditemukan. Air panas kadang berfungsi kadang tidak.,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
pelayanan memuaskan.  cuman bantal airy kotor seperti tidak d cuci. dan tempat penyimpanan bantal biru airy kotor.,neut,neut,neut,neut,neg,neg,pos,neut,neut,neut
"Kamarnya kuranf bagus , lampunya tidak semuanya menyala , sangat petang , ruangannya sangat bau , kamar mandinya kotor ",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"AC tidak panas,  dinding kamar ada rembesan bocor air jd kamar lembab dan penerangannya kamar tdk terang tapi remang remang",pos,neut,neg,neut,neut,neut,neut,neut,neut,neut
kamar tidak sesuai dengan kamar. gak ada bantal guling airy dan peralatan mandi airy room,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"AC nya kurang dingin,dipindahkan keruangan lain tetap dapat kamar yang AC nya kurang dingin",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Datang jam 1 siang tapi tidak boleh cek in, kamar kotor, hotel ramai dan jorok.",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
kamar tidak bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Buruk. Siaran TV Hanya 6 Chanel, view jendela tidak ada, lobby dan area masuk menuju lift berantakan, kunci pintu masih manual. Tidak sesuai dengan foto.",neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
kamar bau cat dan kamar mandi bau tidak sedap :(,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
kamar mandinya tolong di perhatikan kembali kebersihannya dan agak sedikit bau dn closet ya terutama .makasih,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
