processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
kebersihan kurang...,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat ,neut,neut,neut,neut,pos,neut,neut,neut,neg,neut
"semuanya bagus sesuai profile,dan harga promo untuk suite nya jg sangat murah..komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Tempat tidur sangat keras, bantal besar dan keras, air panas tidak berfungsi, AC kurang dingin biasanya setiap saya menginap di hotel/kost/penginapan yang bekerja sama dgn Airy Room selalu dapat snack & peralatan mandi, tapi kali ini tidak 1 pun yang saya dapatkan ",neg,neg,neut,neut,neut,neg,neut,neut,neut,neut
Pelayanan minta sarapan lebih pagi tdk bisa kami lakukan karena syaratnya harus jam 7 pagi baru ters,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"AC tidak dingin, kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas, kamar byk ngengat kecil yg bikin gatal.",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
"Cukup bersih, tetapi masih ada beberapa bagian yg belum.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Pintu toilet rusak, kaca jendela rusak, TV tidak layak, handuk kecil dan usang. seprei usang. air WC",neut,neut,neut,neut,neut,neg,neut,neut,neg,neut
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
tv nya bermasalah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
murah dan nyaman tp toilet agak sedikit kotor.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
AC nya Panas gak berfungsi. Offer all sih ya oke lah.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
Untuk nginap yg kemaren tempat tidur kurang bersih.. ðð»,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
wifi tidak sampai kamar,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Pelayanan ramah, namun air panas shower perlu diperbaiki",neut,neg,neut,neut,neut,neut,pos,neut,neut,neut
"lumayan, tp kamar mandinya kurang bersih & bau.",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"shower rusak, penempatan gantungan baju di kamar mandi sebaiknya jgn di samping wc, selimut byk bekas noda. selebihnya oke lah.",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
Tidak diberikan snack & perlengkapan di kamar mandi.,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
kamar sesuai foto..bagus nyaman tapi sayang shower mandi nya ga bisa pake air dingin terlalu panas mungkin rusak selebih nya sangat bagus sip deh,neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
air panas susah... sedikit banget .. cuman 5 menit abis langsung.. room ok sih,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
Gak ada air hangat,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"bedsheet kotor penuh noda, tampak seperti tidak pernah dicuci. handuk putih sudah menguning. bantal (selain biru kotak merk airy) tidak disarung. kesan: kotor!",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanannya baik...tapi snack nya koq ngga ada lagi ya...kemudian bantalnya bau apek..itu aja masukannya ðð,neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
air hangat. cuma iyu aja yang kurang.,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Makanan , bisa di variasikan lagi saja masakannya. Karena terlalu sederhana, dan tidak sesuai dengan harga yang saya bayarkan untuk menginap disana. Terima kasih.",neut,neut,neut,neut,neut,neut,neut,neg,neut,neut
"Kecewa sama pelayanannya, di aplikasi jam chek in jam 2 tpi pas sampe sana jam 2 blm bisa chek in dengan alasan tertentu Masih ada lagi kamarnya yg kotor sprei yg sperti blm dicuci, lantai kamar yg ada ceceran air pas pertama kali masuk trs yg parahnya sama sekali gak ada peralatan mandi sama sekali seperti handuk pasta gigi sabun dll  Harga murah tp mengecewakan",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
Ada beberapa yang harus ditingkatkan lagi seperti TV. Hanya bisa menonton beberapa channel bagus dan,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Kurang nyaman karena shower untuk closet duduk tidak ada , kurang bersih kesannya!",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Plus, kamar bersih, tempat tidur yang cukup empuk.pelayanannya cukup bagus. Minus, kamar banyak nyamuknya dan toilet penuh kecoa.",neut,neut,neut,neut,neg_pos,pos,pos,neut,neut,neut
"pesan 2 kamar, salah satu kamar tidak sesuai dengan pesanan, harusnya ada AC tapi tidak ada, cuma di kasi kasur, tidak standar airyroom. kamar mandi bau, toilet bocor. seprai kurang bersih. lokasi bagus, tidak jauh dari pusat kota.",neg,neut,neg,neut,neg,neg,neut,neut,neut,neut
Overall baik. Tapi AC kurang dingin.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
tempatnya strategis.  deket ke mana2.  luas tapi agak jorok,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
wastafel macet. kamar kurang bersih di sela lemari banyak sawang,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
pelayanan nya  kurang ramah dan tidak bersahabat...,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Untuk ditingkatkan kembali kebersihannya,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"AC mati hidup, dan kalau menyala suara AC nya berisik..",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Peayanan baik, hanya kamar mandi kurang perawatan dan selimut agak kusam",neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
"staff semua ramah dan baik.  namun lokasi sangat jauh harga terlalu mahal untuk fasilitas yg minim no wifi di kamar,  sarapan hanya nasi goreng, banyak nyamuk",neut,neut,neut,neut,neut,neut,pos,neg,neut,neg
sepray kasur dan bantalnya tidak diganti.. bau apek. kamar mandi peralatannya tidak terawat,neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
"untuk pertama x saya menginap disini dgn keluarga. pengurusnya mengatakan, jikalau anak kecil kwna charge? WHY?? alasan tak logis! saya tidak akan kembali.ke hostel ini lagi. tidak ada tongsampah dikamar.atau didepan kamar. nilai plusnya fasilitas seperti dispenser microwave. kulkas bisa digunakan asalkan dirapikan kembali. overall bad. not recomme",neut,neut,neut,neg,neut,neg,neg,neut,neut,neut
"Murat, lumayan laah tapi banyak kecoa kecil kamarnya, dan selimutnya kurang bersih banyak bercaknya",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
wifi tolong diperbaiki.. ada 2 yg satu sekali tdk ada internet satu lagi tdk stabil sinyalnya..,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
nggak ada air panasnya,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"hotelnya bersih...... pelayanan nya baik, staffnya ramah.  tapi air panasnya tdk berfungsi.",neut,neg,neut,neut,pos,neut,pos,neut,neut,neut
