processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Kamar bagus,rapi,bersih dan wangi tapi sayang kamar yang saya tempati ac nya tdk dingin dan air panas nya juga makannya tidak enak dan porsi nya sudah di takar",neg,neg,pos,neut,pos,neut,neut,neg,neut,neut
"AC tidak dingin, kelengkapan Airy musti diminta",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
bau kamar kurang wangi terutama bagian lemari sama wastafel,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"kamarnya lumayan baik, pelayanan kurang ramah...   ",neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
tilet kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"kamar kecil, air sempat mati, byk semut dan di bwh bed byk kotoran/sampah.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
satu hal yg terbaik dari hotel marina ini adalah kamarnya yg cukup luas dan lengkap dengan kulkas kecil didalamnya dengan harga cukup bersahabat (kalau lagi ada promo airy). tapi untuk pelayanan sama maintanance nya kurang. proses check in memakan waktu hingga 30 menit. masuk kamar ga ada handuk keset dll. rak2 dan kursi berdebu. sprei byk noda. ,neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
kurang bersih aja...tp keseluruhan lumayan lah,neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
"pelayanannya baik, hanya saja kamar mandinya kotor dan banyak kecoa. untuk lokasinya dekat dengan malioboro hanya saja tidak bisa dilalui roda 4 hanya bisa roda 2. overall good",neut,neut,neut,neut,neg,neut,pos,neut,neut,neut
"khas airy murah, Tp banyak bekas bercak2 di bantal dan kasur....bikin ga nyaman. dengan harga segitu kita juga ga berharap lebih, Tp ada baiknya kebesihan yg utama...",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Ac tidak dingin,  tidak ada sendal hotel,  wasteful air mati,  lainya oke view bagus.... ",neg,neut,neut,pos,neut,neg,neut,neut,neut,neut
"hotel jorok ....banyak nyamuk...karyawanny berisik,lokasi jg susah dicari,ngk nyaranin deh untuk nginap disini....udh tuh ada razia jg lagi...pdhl lg enk2 tidur....so buat kalian saya ng nyaranin....",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
"kamar bersih, nyaman. perlu ditingkatkan layanan air panas untuk mandi. dan jika kamar nya dengan view akan lebih baik.",neut,neg,neut,neut,pos,neut,neut,neut,neut,neut
WiFi tdk Ada thanks,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Kebersihan kamar perlu di perbaiki, bau pesing, mungkin dari tamu sebelum nya yg membawa anak balita",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"air buat mandi....kecil bgt, dan perawatan kebersihan sptnya minim banget.....seadanya, maintenance property nya payah",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
AC tidak dingin dan pintu kamar mandi bocor but overall nice esp.  makanannya. dekat dari tempat makan di luar hotel dan supermarket,neg,neut,neut,pos,neut,neut,neut,pos,neut,neut
"AC kurang dingin, beberapa lampu ada yg tidak menyala.",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Kanar kotor, ada bekas sampah plastik di dalam kamar",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Overall bagus, cuma AC kurang dingin.",neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
"Nyamuk banyak sekali,berisik,kamar tidak sesuai gambar,cuma di sediakan sabun batangan,kasur kotor,lantai kaya ada rumah semut dan selimut kecil dan tipis.",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"Kamarnya kurang bersih, banyak debu dilantai",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"fasilitas kamar lengkap , cukup nyaman menginap di airy gambir cideng jakarta . tetapi di kamar bau rokok . padahal kamar yg saya tempati non smoking room .",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"berkesan: harganya super murah, kolam renang bersih... suram: air krannya bau, beddingnya sudah kusam, ac reyot, selimut tipis, ada suara2 di tengah malam dari langit2...",neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
mengecewakan tidak susuai apa yg dilihat di foto tempatnya kurang nyaman dan wifi sama sekali tidak berfungsi,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"ada kendala saat check in, sehingga harus menunggu. kamar tidak standard airy, tidak ada welcome snack jg di kamar. tapi kamar lumayan nyaman untuk backpacker / transit.",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
Lokasi sngt strategis sngt dekat dngan pusat prblanjaan dan kuliner.. facilities good.. tpi porses chek in nunggu lama krn kamar blm rapi dan blm siap.. !! unprofesional!! ,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
tidak ada kursi didalam kamar. serta saluran tv nya banyak yg burem kaya semut berkerumun. tapi untuk kenyamanan kamar bagus,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
kebersihan ditingkatkan,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Luas kamar tertera 20 m2 kenyataannya gk sampe, dan ac kurang dingin, subuh kebangun karena gerah",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Ac tidak dingin,selimut dan sprei gatal seperti 10 tahun tidak diganti",neg,neut,neut,neut,neg,neg,neut,neut,neut,neut
"sangat tidak layak, tua, berdebu, panas, pake kipas angin,, sangat kecewa",neg,neut,neut,neut,neg,neut,neut,neut,neut,neut
"sudah bagus sih, cmn spring bed nya tdk empuk padahal itu kamer superior bkn standar, dan wifinya jg kurang kuat sinyalnya",neut,neut,neut,neut,neut,neg,neut,neut,neut,neg
kamar mandi kotor... ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Butuh pengharum ruangan dan perbaikan AC,neg,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Wifinya zonk abis, suka ilang2 dan malah suka gak dapet. Sinyal hp no service(xl, simpati 1 bar saja). Makanannya biasa aja. Selebihnya buat kasur, kamar mandi, dll okesipðð»",neut,neut,neut,pos,neut,neut,neut,neg,neut,neg
"Kamar 509 tidak diatur seperti Airy Rooms (bantal, kain, snackbar, mineral water tdk ada) awalnya. telp receptionist baru disiapkan. air panas bisa dibilang tidak hangat sama sekali. koneksi internet pagi2 sempat lemot. breakfast cukup oke.",neut,neg,neut,neut,neut,neg,neut,pos,neut,neg
