processed_text,fuel,machine,others,part,price,service
"Entah kenapa ya , aku lebih nyaman brio generasi pertama .. Yang kaki kaki nya lebih ceper , good looking di lampu belakang bulat dan kaca semi framless",neutral,neutral,positive,positive,neutral,neutral
"yang saya suka dari avanza itu volume nya yang besar, anak-anak bisa bebas bersantai di dalam mobil",neutral,neutral,neutral,positive,neutral,neutral
Suzuki Karimun GX tidak hanya bandel dan memiliki kabin luas tetapi juga irit,positive,positive,neutral,positive,neutral,neutral
"xenia mi jendela masih engkol , setir berat . enggak ada rpm - nya",neutral,neutral,neutral,negative,neutral,neutral
Driver lebih nyaman dengan posisi perseneling yang unik. Terima kasih Sigra.,neutral,neutral,neutral,positive,neutral,neutral
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,positive,neutral,positive,positive,neutral,neutral
"xpander memang oke , enak saja menanjak 6 orang dalam mobil .",neutral,neutral,positive,neutral,neutral,neutral
Toyota Rush cocok untuk segala musim berjiwa petualang .,neutral,neutral,positive,neutral,neutral,neutral
Saya juga pakai hrv om . impresi nya sangat luar biasa dan enak banget dikendarai baik dalam dan luar kota hrv terbaik,neutral,neutral,positive,neutral,neutral,neutral
Wuling Formo 1.2 Standard yang ramah untuk penumpang.,neutral,neutral,positive,neutral,neutral,neutral
Toyota Avanza versi terbaru pun menghadirkan pedal gas yang lebih ringan untuk diinjak sehingga anda bisa memperoleh tingkat kenyamanan lebih mudah .,neutral,neutral,neutral,positive,neutral,neutral
tampilan Avanza bergaya khas crossover ini memiliki kesan sporty dan agresif,neutral,neutral,neutral,positive,neutral,neutral
jazz tenaga nya oke banget daripada brio kalah jauh,neutral,negative,neutral,neutral,neutral,neutral
"Ternyata pelayanan bengkel-bengkel yamaha asli jelek banget , gue bagusin stater hand sampe bolak balik cuma kasih duit ke bengkel nya tapi tetep enggak bisa digunain stater gue .",neutral,neutral,neutral,neutral,neutral,negative
Yamaha Aerox R tarikan oke mesin hebat bodi sporty,neutral,positive,neutral,positive,neutral,neutral
Mazda itu desain nya bulat-bulat unik dan halus banget.,neutral,neutral,neutral,positive,neutral,neutral
"Mitsubishi ini mobil yang perawatan nya gampang , enak banget",neutral,neutral,neutral,neutral,neutral,positive
menurut saya dari segi kenyamanan sih bolehlah lumayan si xenia,neutral,neutral,positive,neutral,neutral,neutral
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget",neutral,neutral,negative,neutral,neutral,neutral
fortuner sparepart nya banyak dijual di mana-mana,neutral,neutral,neutral,positive,neutral,neutral
"memang xenia bandel , gue senang banget sama mobil gue ini .",neutral,positive,positive,neutral,neutral,neutral
Bagusan Fortuner daripada Pajero sport,neutral,neutral,negative,neutral,neutral,neutral
Mitsubishi Colt L300 Pick Up . Mobil Pick Up tangguh dan bandel serta irit cocok untuk menunjang kegiatan niaga Anda,positive,positive,neutral,neutral,neutral,neutral
keseluruhan mobil Wuling confero S 1.5 L Lux+ ini direkomendasikan banget .,neutral,neutral,positive,neutral,neutral,neutral
selama ini tidak pernah bermasalah dan memang mesin nya tangguh dan bandel baik untuk jalan menanjak di pegunungan . Pokok nya Avanza terbaik .,neutral,positive,positive,neutral,neutral,neutral
konsumsi bahan bakar yang cukup irit menurut saya adalah poin penting dari Calya ini .,positive,neutral,neutral,neutral,neutral,neutral
"gue pakai xenia li VVTi 2007 , ya sadar sajalah punya mobil murah meriah 1000 cc tuh",neutral,neutral,neutral,neutral,positive,neutral
