processed_text,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
 mending makan di sini lebih murah buang buang duit kamu nanti juga jadi tai dan atau tidak sih a beli barang murah terus sih b komen ih kok kamu beli di situ sih kan murah pasti bahannya tidak bagus dan lalu sih b secara tidak langsung dan tidak merasa sudah menyakiti hati sih a dengan perkataan ,0,1,0,0,0,0,0,0,0,0,0,0
 gunanya cebong cuma bisa mangap di kolam butek ,1,1,1,0,0,0,0,0,1,1,0,0
 super gubernur anies be emu erdogan ,0,0,0,0,0,0,0,0,0,0,0,0
 lamun lain jokowi presiden enggak angelus dua tahun eta bandara paham tau kamu tolol dipelihara,1,1,1,0,0,0,0,0,1,1,0,0
 kalau kalian punya uang sebanyak itu kenapa tidak bantu pemerintah dan kenapa tidak beli saham freepo kalianlah yang sebenarnya antek asing asing anti indonesia ,1,0,0,1,0,0,0,0,1,0,1,0
 congor kamu ya tolong ,1,1,1,0,0,0,0,0,1,1,0,0
oke kalau banget kita usir minoritas umat buddha di indonesia kita ba er sama umat islam nya ,1,0,0,1,1,0,0,0,0,0,0,1
presiden yang anda tuduh rezim anti islam sudah banyak berbuat untuk negeri ini sudah banyak berbuat untuk umat ,1,0,1,0,0,0,0,0,1,1,0,0
dari isb sekaligus juga kasus tes kalau kita bisa berjemaah beli saham bris kita juga bisa berjemaah kamu beli beli yang lain bris juga nanti akan pikir risiko reputasi kalau pemegang saham mayoritas macam macam amp berniat mengerdilkan pemegang saham minoritas yang dimiliki koperasi pembatikan indonesia yang,0,0,0,0,0,0,0,0,0,0,0,0
jawa timur anti hoaks pilihan kepala daerah damai deklarasi anti hoaks guru banting st yusup,0,0,0,0,0,0,0,0,0,0,0,0
dosa di rumah atau di tempat privasi kamu itu kamu dengan tuhan dan tapi jangan mempengaruhi budaya bertentangan ini kepada mereka yang tidak bersetuju denganmu dan janganlah merusakkan sistem kekeluargaan normal manusia dan tolak budaya lgbt ,0,0,0,0,0,0,0,0,0,0,0,0
 wkwk sih mantan ustad di indonesia lawyers club kelihat goblok masih tidak sadar di dunia maya sakit perut gue lihat nya ,1,1,1,0,0,0,0,0,1,1,0,0
 pak untuk menghapus teroris islam penipuan perlu ada penjelasan agar islam mudah dipahami,1,0,0,1,1,0,0,0,0,0,1,0
 baru tiga tahun sudah sebegitu ya bentar lagi lewat utang susilo bambang yudhoyono njiiieng,1,0,1,0,0,0,0,0,1,1,0,0
franky mau presiden baru bagaimana yang lain ,0,0,0,0,0,0,0,0,0,0,0,0
percayalah pak saya perempuan yang cukup tau batas almarhumah ibu saya cukup militer untuk mendidik anak anaknya aku cuma ingin menjadi muda yang asyik bukan muda yang kaku dengan batasan norma norma selama aku melakukan tidak menyalahi kodrat dan aturan keras agama saya ,0,0,0,0,0,0,0,0,0,0,0,0
 di dalam kristen tidak semuanya diatur dalam injil itulah sebabnya manusia diciptakan dengan akal dan pikiran untuk membedakan mana yang baik dan buruk mana yang patut dan tidak patut tidak te ulis dalam injil bukan bera i boleh dil,0,0,0,0,0,0,0,0,0,0,0,0
 ngentot dengan seke aris yang sexy dan cerita dewasa memek merah memek basah memek janda ,0,1,0,0,0,0,0,0,0,0,0,0
 sini mami aku yang jilati memek nya ,0,1,0,0,0,0,0,0,0,0,0,0
kebebasan pendapat oke lah tapi main sambar cuitan orang rasanya juga tidak harus begitu apalagi cuma mau menyampaikan sampah baik ditahan sayang dosa lonceng buat sambar cuitan orang ,0,0,0,0,0,0,0,0,0,0,0,0
alay kamu tong kampungan ,1,1,1,0,0,0,0,0,1,1,0,0
 ini namanya pahlawan kemalaman saran sebelum buat laporan coba tanyakan apa agama sih abu janda ini 2019 ganti presiden,1,0,1,0,1,0,0,0,0,1,0,0
 ada cebong bang dia merasa paling benar ,1,1,1,0,0,0,0,0,1,1,0,0
 hanya orang tolol dan idiot yang merasa bahaya kalau dengar kata x9chutang dan dijadikan bahan bully pemerintah kritik presiden cukup katakan pak jangan sampai hutang menyebabkan cashflow negara negatif ,0,1,0,0,0,0,0,0,0,0,0,0
